品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 Motorola/摩托罗拉, xt882, 光束白 电幻黑, Android/安卓,2699.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 双核心, 1880mAh, 直板, 虚拟触屏键盘, 1CM以上, 800万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 512MB, 4.0英寸, 电容式, 960x540,（47人气）,
 Apple/苹果, iPhone6s&nbsp;Plus&nbsp;64G, 金色, IOS9,7000.00,0,, 音乐手机 4G手机, 不详, 64&nbsp;位架构的&nbsp;A9&nbsp;芯片&nbsp;嵌入式&nbsp;M9&nbsp;运动协处理器, 2750mAh, 直板, 不详, 7.3毫米（0.29英寸）, 1200万, 双摄像头（前后）, 不详, 64GB, 不详, 5.5英寸, 具备3DTouch&nbsp;技术的&nbsp;Retina&nbsp;HD&nbsp;显示屏, 1920x1080,（18人气）,
 vivo, X5MAx+, 极光白 香槟金, Android/安卓,3298.00,0,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（1596人气）,
 贝尔丰, BF&nbsp;V5T&nbsp;米王, 玫瑰红 白色, Android/安卓,588.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x540,（95人气）,
 UniscopE/优思, U558, 蓝色 白色, Android/安卓,719.00,0,, 拍照手机 音乐手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x540,（5人气）,
 UniscopE/优思, 白色 蓝色, Android/安卓, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 女性手机,1700.00,0,, 可拆卸式电池, 四核心, 1.2GHz, 1700mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 720P(逐行高清D4), 4GB, 1GB, 5.0英寸, 电容式, 960x540,（40人气）,
 bee/小蜜蜂, bee2A, 珠光白色 珠光黑色, 阿里巴巴YunOS,988.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.3英寸, 电容式, 960x540,（4624人气）,
 Yusun/语信, 红辣椒电信版, 辛辣黑, Android/安卓,999.00,0,, 拍照手机 音乐手机 时尚手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（232人气）,
 Lenovo/联想, 白色, Android/安卓, 4G手机,699.00,0,, 可拆卸式电池, 四核, 2300mAh,, 虚拟触屏键盘, 8.34MM,, 双摄像头（前后）, 不详,, 8GB, 1GB, 5英寸, 电容式, 1280x720,（1人气）,
 Hisense/海信, E613M, 铃兰白, Android/安卓,399.00,0,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核, 3900mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 500万, 双摄像头（前后）, 480P(逐行标清D2), 4GB, 512MB, 5.0英寸, 电容式, 854x480,（1人气）,
 Samsung/三星, SM-G9092, 名仕蓝, Android/安卓,8988.00,0,, 智能手机 商务手机, 可拆卸式电池, 四核心, 2.3GHz,, 翻盖, 虚拟触屏键盘,, 1300万, 双摄像头（后双）, 32GB, 2GB, 3.7英寸, 电容式, 800x480,（29人气）,
 Huawei/华为, 荣耀6&nbsp;Plus&nbsp;联通版, 白色 黑色, Android/安卓,2999.00,0,, 智能手机 4G手机 商务手机, 不可拆卸式电池, 八核&nbsp;1.8Ghz, 3600mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万+800万双后置摄像头, 双摄像头（前后）, 1080P(全高清D5), 16GB, 3GB, 5.5英寸, 电容式, 1920x1080,（16人气）,
 康力, A03, 橡胶红 橡胶黑, 无操作系统,368.00,0,, 老人手机, 可拆卸式电池, 无, 1300mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480P(逐行标清D2), 无, 无, 2.0英寸, 非触摸屏, 128x160,（110人气）,
 Philips/飞利浦, i966, 黑色, 阿里巴巴YunOS,3700.00,1,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 2070万, 双摄像头（前后）, 32GB, 3GB, 5.5英寸, 电容式, 2560×1440像素,（128人气）,
 ZTE/中兴, Q5-C, 闪银色, Android/安卓,2999.00,0,, 时尚手机 4G手机, 不可拆卸式电池, 四核1.2G, 2300mAh, 直板, 虚拟触屏键盘, 7.7mm, 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.0英寸, 电容式, 1080X720,（9人气）,
 Huawei/华为, G700-T00, 白色, Android/安卓,899.00,0,, 拍照手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（5人气）,
 爱贝多, C88, 芭芘粉 太空蓝, 无操作系统,299.00,0,, 儿童手机, 不可拆卸式电池, 无, 600mAh, 直板, 特殊5键盘, 9mm以下, 无摄像头, 无摄像头, 无, 无, 无, 无, 非触摸屏, 不支持,（193人气）,
 Samsung/三星, gt-i9168i, 白色 午夜黑, Android/安卓,1488.00,0,, 拍照手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 800x480,（154人气）,
 Samsung/三星, gt-s7898i, 釉白, Android/安卓,698.00,0,, 拍照手机 音乐手机 智能手机 3G手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 768MB, 4.0英寸, 电容式, 800x480,（159人气）,
 KINGSUN/广信, EF98A, 黄色 黑色 白色, 阿里巴巴YunOS,499.00,0,, 拍照手机 音乐手机 3G手机 商务手机 老人手机, 可拆卸式电池, 双核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 4.5英寸, 电容式, 800x480,（6人气）,
 VOTO, W6100, 白色 黑色, Android/安卓,1559.00,0,, 时尚手机 智能手机 儿童手机 女性手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 200万, 双摄像头（前后）, 512MB, 256MB, 3.5英寸, 电容式, 480X320,（16人气）,
 Hisense/海信, E71-M, 金尊白, Android/安卓,1599.00,0,, 拍照手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 1.4GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（4人气）,
 Xiaomi/小米, 红米手机2, 淡粉 深灰 浅绿 明黄 白色, MIUI,600.00,2128,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 4.7英寸, 电容式, 1280x720,（18587人气）,
 Haier/海尔, HL-6380T, 幻彩白, Android/安卓,799.00,0,, 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头(前后), 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（102人气）,
 Meizu/魅族, 魅蓝note2电信版, 灰色 白色, FLyme,1000.00,922,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 智能真8核, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,,
 Lenovo/联想, A820T, 融雪白 深邃黑, Android/安卓,1109.00,0,, 拍照手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 单摄像头, 4GB, 1GB, 4.5英寸, 电容式, 960x540,（140人气）,
 Hisense/海信, HS-E620M, 玉光白 俊雅黑, Android/安卓,699.00,16,, 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 854x480,（210人气）,
 Philips/飞利浦, W715, 黑色, 无操作系统,399.00,0,, 拍照手机 时尚手机 老人手机, 可拆卸式电池, 无, 2000mAh, 翻盖, 12键标准键盘, 9mm(含)-10mm(含), 30万, 单摄像头, 240x320, 64MB, 无, 2.8英寸, 非触摸屏, 960x640,（13人气）,
 Hisense/海信, D1-M, 香槟金, Android/安卓,1399.00,9,, 拍照手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核, 2500mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（88人气）,
 K-Touch/天语, W710, 珠光白 黑色, 阿里巴巴YunOS,499.00,0,, 拍照手机 音乐手机 智能手机 3G手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 800x480,（4人气）,
 Lenovo/联想, X2-CU, 金色, Android/安卓,1400.00,3,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 5.0英寸, 电容式, 1920x1080,（134人气）,
 Samsung/三星, SM-G3508I, 魔力黑 星耀白, Android/安卓,750.00,0,, 智能手机 3G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 512MB, 4.3英寸, 电容式, 480x800,（30人气）,
 Huawei/华为, 荣耀3C高配版, 前黑后白 黑色, Android/安卓,1058.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 四核&nbsp;1.3GHz, 2300mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头(前后), 720P(逐行高清D4), 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（239人气）,
 Philips/飞利浦, W3509, 尊贵黑, Android/安卓,1099.00,0,, 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x540,（110人气）,
 ZTE/中兴, V889M, 黑色, Android/安卓,380.00,1,, 智能手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（138人气）,
 Xiaomi/小米, M2, 白色, Android/安卓,1339.00-1550.00,0,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB 32GB, 2GB, 4.3英寸, 电容式, 1280x720,（1029人气）,
 ZTE/中兴, V967S, 蓝色, Android/安卓,600.00,2,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x540,（562人气）,
 Lenovo/联想, A680, 深邃黑 象牙白, Android/安卓,878.00,0,, 智能手机, 可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（7人气）,
, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含),158.00,2,,, 无摄像头,,,,,,,,, 黑色, S60, 2.4英寸, 电阻式触摸屏,,（136人气）,
 UBTEL, U8, 云石白 魔幻黑, 阿里巴巴YunOS,2388.00,0,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.5GHz, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 1GB, 5.0英寸, 电容式, 1920x1080,（104人气）,
 Coolpad/酷派, 5910, 极光白 深遂黑, Android/安卓,380.00,3,, 智能手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 4.3英寸, 电容式, 800x480,（92人气）,
 Daxian/大显, HT7100, 白色 黑色, Android/安卓,518.00,0,, 拍照手机 时尚手机 商务手机 女性手机, 可拆卸式电池, 双核心, 1GHz, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 500万, 双摄像头（前后）, 480P(逐行标清D2), 4GB, 512MB, 4.63英寸, 电容式, 854x480,（107人气）,
 K-Touch/天语, U90, 金光黄, Android/安卓,399.00,1,, 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 4.7英寸, 电容式, 960x540,（121人气）,
 Meizu/魅族, 魅蓝2电信版, 灰色 白色 蓝色, FLyme,800.00,1505,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 1GB, 5.0英寸, 电容式, 1280x720,（3939人气）,
 K-Touch/天语, S2, 黑色, Android/安卓,399.00,1,, 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.3英寸, 电容式, 960x540,（36人气）,
 nubia/努比亚, Z9&nbsp;max&nbsp;电信4G, 黑色, Android/安卓,1239.00,101,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 儿童手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 四核+四核, 1.6GHz,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920*1080,（508人气）,
 Lenovo/联想, A780E, 清新白, Android/安卓,688.00,0,, 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（60人气）,
 纽曼, L60, 咖啡色 红色 厚朴黑, 无操作系统,89.00,19,, 音乐手机 老人手机, 可拆卸式电池, 单核心, 104MHz,, 直板, 12键标准键盘,, 无摄像头, 无摄像头, 64MB, 64MB 32MB, 1.8英寸, 非触摸屏, 160X128,（9人气）,
 ZTE/中兴, N790S, 红色, Android/安卓,198.00-268.00,0,, 智能手机 3G手机, 可拆卸式电池, 单核心, 512MHZ,, 直板, 虚拟触屏键盘,, 320万, 单摄像头, 512MB, 256MB, 3.5英寸, 电容式, 480X320,（50人气）,
 Hisense/海信, HS-I630M, 晴雪白, Android/安卓,999.00,8,, 时尚手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（405人气）,
 广信, EF80, 黑色 白色, Android/安卓,299.00,0,, 拍照手机 音乐手机 智能手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（53人气）,
 Huawei/华为, 黑色, Android/安卓, 智能手机 商务手机,480.00,4,, 可拆卸式电池, 双核心, 1.2GHz, 1730mAh, 直板, QWERTY全键盘, 9mm以下, 200万, 单摄像头, 480I(隔行标清D1), 4GB, 512MB, 4.5英寸, 电容式, 854x480,（333人气）,
 广信, 白色, Android/安卓, 拍照手机 音乐手机 女性手机,499.00,0,, 可拆卸式电池, 四核, 1800mAh,, 12键标准键盘, 9mm以下,, 双摄像头（前后）, 720P(逐行高清D4),, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（2人气）,
 Coolpad/酷派, 8150D, 石英黑, Android/安卓,300.00,12,, 3G手机, 可拆卸式电池, 双核心, 512MHZ,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（65人气）,
 VOTO, J5218, 白色 黑色, Android/安卓,1699.00,0,, 时尚手机 智能手机 儿童手机 女性手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 200万, 双摄像头（前后）, 512MB, 256MB, 3.5英寸, 电容式, 480X320,（1233人气）,
 VOTO, t8100, 白色 黑色, Android/安卓,1980.00,0,, 拍照手机 时尚手机 智能手机 3G手机 女性手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 512MB, 4.65英寸, 电容式, 854x480,（4688人气）,
 Lenovo/联想, A228T, 星夜黑, Android/安卓,320.00,1,, 时尚手机 智能手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 200万, 双摄像头（前后）, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（41人气）,
 Samsung/三星, GALAXY&nbsp;Note&nbsp;2&nbsp;N7100, 钛灰色, Android/安卓,2199.00,0,, 拍照手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.5GHz及以上,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（126人气）,
 ZTE/中兴, V818, 蓝色, Android/安卓,440.00,2,, 拍照手机 音乐手机 时尚手机 3G手机 商务手机, 可拆卸式电池, 双核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（437人气）,
 LG, D857, 香槟金 钛金黑 月光白, Android/安卓,2688.00,0,, 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 3GB, 5.5英寸, 电容式, 2560×1440像素,（5人气）,
 Android/安卓,, 直板, 虚拟触屏键盘,168.00,2,, 1CM以上,, 130万,,,,,,,, E239, Coolpad/酷派, 2.4英寸, 电阻式触摸屏, 480X320,（279人气）,
 YITON/亿通, 白色, Android/安卓, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机,1999.00,0,, 可拆卸式电池, 四核心, 1.2GHz, 2500mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 1080P(全高清D5), 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（18人气）,
